,WAP006,WAP015,WAP016,WAP059,WAP077,WAP078,WAP082,WAP083,WAP084,WAP085,WAP088,WAP089,WAP102,WAP107,WAP108,WAP109,WAP110,WAP111,WAP112,WAP113,WAP114,WAP115,WAP116,WAP148,WAP149,WAP164,WAP165,WAP174,WAP175,WAP176,WAP177,WAP178,WAP179,WAP180,WAP181,WAP186,WAP187,WAP188,WAP189,WAP248,WAP255,WAP256,WAP257,WAP258,WAP259,WAP260,WAP261,WAP262,WAP263,WAP274,WAP278,WAP282,WAP284,WAP286,WAP288,WAP295,WAP310,WAP311,WAP312,WAP313,WAP314,WAP315,WAP316,WAP317,WAP318,WAP329,WAP334,WAP338,WAP340,WAP342,WAP344,WAP351,WAP366,WAP367,WAP368,WAP369,WAP370,WAP371,WAP372,WAP374,WAP375,WAP386,WAP390,WAP394,WAP396,WAP398,WAP400,WAP405,WAP478,WAP503,LATITUDE,LONGITUDE,FLOOR,LOC,USERID,TIMESTAMP
41,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,17,17,0,0,0,23,27,27,0,0,0,0,24,24,10,0,0,0,15,0,11,9,16,22,0,18,0,0,0,0,0,0,21,0,16,0,0,20,0,21,0,15,0,0,0,0,0,0,20,10,19,0,0,23,0,19,0,16,0,0,0,0,0,0,20,0,11,22,0,0,0,20,0,0,0,4864853.930299997,-7457.242100000381,2,212,2,1371716120
45,0,15,14,0,0,0,0,0,0,0,14,0,0,16,0,0,0,0,0,18,0,20,21,0,0,0,12,18,18,0,0,16,13,9,12,11,0,15,17,11,14,0,0,0,0,0,0,23,0,0,0,0,0,0,19,20,0,0,0,0,17,0,0,24,13,0,0,0,0,0,20,0,0,0,8,0,0,0,0,21,0,10,0,0,0,0,16,21,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716152
48,0,13,14,0,0,0,0,0,0,0,14,0,0,8,0,0,0,11,10,0,0,16,16,0,0,0,14,22,22,0,0,16,16,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,22,13,13,0,0,0,0,0,0,0,0,8,19,0,0,0,21,16,0,0,0,0,16,0,0,15,0,0,19,0,11,0,23,0,0,0,4864852.0464766035,-7461.524049259721,2,204,2,1371716209
157,0,12,14,0,0,0,0,0,0,0,0,0,0,16,0,17,17,0,0,0,23,21,24,0,0,0,0,24,24,10,0,0,18,0,0,11,9,18,17,0,17,0,0,0,0,0,0,21,0,0,23,0,0,0,22,0,15,0,0,0,13,0,0,21,13,0,0,0,0,0,22,0,16,0,0,0,0,0,0,22,0,11,19,0,0,0,26,24,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716135
158,11,0,0,0,0,0,0,0,0,0,0,0,0,16,15,17,15,0,0,16,19,22,22,0,0,0,0,19,18,0,0,0,0,0,0,11,10,22,16,0,14,0,0,0,0,0,13,18,0,0,16,0,14,0,0,14,17,0,0,0,11,12,12,18,0,12,0,0,22,0,0,21,18,0,0,0,0,13,13,18,0,9,0,0,21,0,0,0,0,0,4864853.930299997,-7457.242100000381,2,212,2,1371716113
261,11,0,0,0,0,0,0,0,0,0,0,0,0,17,15,17,15,0,0,0,0,23,21,0,0,0,7,21,18,0,0,0,13,0,18,0,0,21,19,0,9,0,0,0,0,0,10,18,0,12,18,0,14,0,0,13,0,0,0,0,11,0,0,15,0,0,16,0,22,0,10,21,0,0,0,0,0,0,0,15,0,12,18,0,16,0,16,0,0,0,4864853.930299997,-7457.242100000381,2,212,2,1371716100
264,0,12,13,0,0,0,0,0,0,0,14,0,0,15,0,0,0,0,0,0,0,16,20,0,0,0,0,0,16,0,0,0,18,6,0,0,0,20,17,0,14,0,0,0,17,0,0,25,14,0,23,0,0,0,22,23,16,0,0,0,16,0,0,22,13,0,0,0,0,0,19,23,15,0,0,0,0,0,0,19,17,0,16,0,0,0,20,24,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716135
374,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15,18,10,0,0,0,24,23,0,8,0,18,0,0,0,0,16,16,0,21,0,0,0,18,0,0,15,0,0,20,0,0,0,25,0,22,0,0,0,14,0,0,0,0,0,15,0,10,0,25,0,17,0,0,0,13,0,0,16,0,10,15,0,0,0,24,0,0,0,4864852.0464766035,-7461.524049259721,2,204,2,1371716186
482,0,12,12,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,16,16,13,24,0,0,0,0,15,15,0,0,0,16,8,0,0,0,16,18,0,17,0,0,0,0,0,0,24,0,10,19,0,0,0,21,22,0,0,0,0,19,0,0,20,11,0,0,0,12,0,21,20,0,0,10,0,0,0,0,23,0,0,20,0,15,0,20,22,0,0,4864852.0842999965,-7458.26419999823,2,210,2,1371716151
590,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,15,0,0,14,13,22,19,0,0,12,12,22,24,0,9,0,0,0,17,0,8,22,16,0,12,0,0,0,12,0,0,15,0,10,17,0,19,0,11,16,0,0,0,0,10,0,0,18,0,13,0,0,15,0,17,0,0,0,0,0,0,16,11,17,0,13,13,0,15,0,11,0,0,0,4864853.930299997,-7457.242100000381,2,212,2,1371716117
