Loc ID,GPS,User ID,Count
196,"(4864815.0574, -7469.8892)",9,10
196,"(4864815.0574, -7469.8892)",10,10
199,"(4864834.110161, -7469.328742)",9,10
199,"(4864834.110161, -7469.328742)",10,10
200,"(4864820.4132, -7466.9637)",9,10
200,"(4864820.4132, -7466.9637)",10,14
204,"(4864852.046477, -7461.524049)",2,7
205,"(4864810.0301, -7460.7679)",9,10
205,"(4864810.0301, -7460.7679)",10,10
207,"(4864815.2857, -7457.7555)",9,10
207,"(4864815.2857, -7457.7555)",10,10
209,"(4864831.2909, -7457.9272)",9,10
209,"(4864831.2909, -7457.9272)",10,10
210,"(4864852.0843, -7458.2642)",2,9
210,"(4864852.0843, -7458.2642)",9,10
210,"(4864852.0843, -7458.2642)",10,10
212,"(4864853.9303, -7457.2421)",2,8
212,"(4864853.9303, -7457.2421)",9,20
212,"(4864853.9303, -7457.2421)",10,10
214,"(4864828.6049, -7453.0595)",9,10
214,"(4864828.6049, -7453.0595)",10,10
